Bac.Via,plate,well,sample,treatment,bacteria,type,line,time,location,viability,date,Analyte Sample,HEKWell,Abs,log_pg.ml,pg.ml,LOD_pg.ml,via,concentration_avg,Bac.Via_label
Spn.IRR,2,68,SpnC 48 Ap IRR,S. pneumoniae Irradiated,Spn,sample,HNO919,48,Apical,IRR,3/6/2023,Unknown143,A12,3.052,3.0149555258381047,1035.0361678120355,500,IRR,1035.0361678120355,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,2,69,SpnC 48 Baso IRR,S. pneumoniae Irradiated,Spn,sample,HNO919,48,Basal,IRR,3/6/2023,Unknown144,B12,0.724,0.9446229245277428,8.802842357633057,8.802842357633057,IRR,8.802842357633057,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,1,19,SpnB 48 Baso IRR,S. pneumoniae Irradiated,Spn,sample,HNO204,48,Basal,IRR,1/17/2023,Unknown19,H5,1.591,1.7156617412528645,51.95911451700209,51.95911451700209,IRR,51.95911451700209,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,2,43,SpnB 48 Ap IRR,S. pneumoniae Irradiated,Spn,sample,HNO204,48,Apical,IRR,2/28/2023,Unknown118,H8,1.89,1.9815678614383447,95.84464683232689,95.84464683232689,IRR,95.84464683232689,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,1,18,SpnB 48 Ap IRR,S. pneumoniae Irradiated,Spn,sample,HNO204,48,Apical,IRR,1/17/2023,Unknown18,G5,2.568,2.5845255520261565,384.1718615398132,384.1718615398132,IRR,384.1718615398132,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,2,18,SpnC 48 Ap IRR,S. pneumoniae Irradiated,Spn,sample,HNO919,48,Apical,IRR,2/14/2023,Unknown93,G5,3.036,3.0007264357947343,1001.6740799418652,500,IRR,1001.6740799418652,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,1,68,SpnB 48 Ap IRR,S. pneumoniae Irradiated,Spn,sample,HNO204,48,Apical,IRR,2/7/2023,Unknown68,A12,2.62,2.6307700946671098,427.3366042673666,427.3366042673666,IRR,427.3366042673666,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,1,43,SpnC 48 Ap IRR,S. pneumoniae Irradiated,Spn,sample,HNO919,48,Apical,IRR,1/24/2023,Unknown43,H8,2.861,2.8450957634453733,699.9963306141153,500,IRR,699.9963306141153,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.live,2,41,SpnB 48 Baso,S. pneumoniae,Spn,sample,HNO204,48,Basal,live,2/28/2023,Unknown116,F8,0.316,0.5817811284218032,3.8175183071653858,3.8175183071653858,live,3.8175183071653858,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,2,16,SpnC 48 Baso,S. pneumoniae,Spn,sample,HNO919,48,Basal,live,2/14/2023,Unknown91,E5,2.155,2.2172371652816634,164.9062687669906,164.9062687669906,live,164.9062687669906,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,1,66,SpnB 48 Baso,S. pneumoniae,Spn,sample,HNO204,48,Basal,live,2/7/2023,Unknown66,G11,1.634,1.7539024207444218,56.74171012350048,56.74171012350048,live,56.74171012350048,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,2,66,SpnC 48 Baso,S. pneumoniae,Spn,sample,HNO919,48,Basal,live,3/6/2023,Unknown141,G11,1.902,1.9922396789708723,98.2289900812256,98.2289900812256,live,98.2289900812256,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,1,41,SpnC 48 Baso,S. pneumoniae,Spn,sample,HNO919,48,Basal,live,1/24/2023,Unknown41,F8,1.923,2.010915359652796,102.54520547819436,102.54520547819436,live,102.54520547819436,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,2,65,SpnC 48 Ap,S. pneumoniae,Spn,sample,HNO919,48,Apical,live,3/6/2023,Unknown140,F11,3.305,3.2399530121488955,1737.6128201219292,500,live,1737.6128201219292,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,1,16,SpnB 48 Baso,S. pneumoniae,Spn,sample,HNO204,48,Basal,live,1/17/2023,Unknown16,E5,1.143,1.3172472200384995,20.76094988205324,20.76094988205324,live,20.76094988205324,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,2,40,SpnB 48 Ap,S. pneumoniae,Spn,sample,HNO204,48,Apical,live,2/28/2023,Unknown115,E8,2.512,2.5347237368743607,342.5498146586306,342.5498146586306,live,342.5498146586306,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,1,15,SpnB 48 Ap,S. pneumoniae,Spn,sample,HNO204,48,Apical,live,1/17/2023,Unknown15,D5,3.2,3.1465746087392787,1401.4403218573486,500,live,1401.4403218573486,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,2,15,SpnC 48 Ap,S. pneumoniae,Spn,sample,HNO919,48,Apical,live,2/14/2023,Unknown90,D5,3.186,3.13412415495133,1361.8339442884558,500,live,1361.8339442884558,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
Spn.live,1,65,SpnB 48 Ap,S. pneumoniae,Spn,sample,HNO204,48,Apical,live,2/7/2023,Unknown65,F11,3.199,3.145685290611568,1398.5734857926282,500,live,1398.5734857926282,<b><span style='color:white;'>'</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>'</span></b>
