Date,Line,Species,bacteria_label,Temp,Well_Endpoint,FC
08_30_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,2.5090252707581224
08_30_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,2.177083333333333
08_31_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.087912087912088
08_31_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,3.6423076923076927
08_31_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.3877551020408163
08_31_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,3.217081850533808
08_31_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.2231075697211156
08_31_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.6666666666666667
08_31_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.1732851985559567
08_31_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.1304347826086956
08_31_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.6231884057971013
08_31_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,4.002994011976048
09_06_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.0488721804511278
09_06_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,1.9311740890688258
09_06_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.6297872340425532
09_06_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,2.471774193548387
09_06_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,1.3125
09_06_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.9799196787148594
09_06_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,1.256
09_06_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,1.840637450199203
09_06_2022,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.0622222222222222
09_06_2022,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.1392405063291138
09_06_2022,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.0423076923076924
09_06_2022,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.2559055118110236
09_06_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.2775330396475773
09_06_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,1.3755102040816325
09_07_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.3754789272030652
09_07_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,1.3724696356275303
09_07_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.3695652173913042
09_07_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,2.72
09_07_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.7096774193548387
09_07_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,3.1715116279069764
09_13_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.2286821705426356
09_13_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,1.579150579150579
09_13_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.1929133858267718
09_13_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,4.285714285714286
09_13_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.2559055118110236
09_13_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.3439999999999999
09_13_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.2883895131086143
09_13_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.6109589041095893
09_13_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.3512396694214877
09_13_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,2.263374485596708
09_14_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.0803858520900322
09_14_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,2.3795379537953796
09_14_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.1225
09_14_2022,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,2.589247311827957
09_14_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,0.991253644314869
09_14_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.4391691394658754
09_14_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,1.6985294117647058
09_14_2022,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,3.8017429193899783
09_14_2022,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,0.8598726114649682
09_14_2022,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.174698795180723
09_14_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.2951807228915662
